"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"216","GOA","Chignik",1991,377438,980557,1993,158.64,56.28,0.704165851536456,0.407032561034303,0.411571610276743,-0.160517235092646
"217","GOA","Chignik",1992,403755,1095984,1994,158.64,56.28,0.0585964242634133,0.0420860109544805,0.143387633978044,0.983660455646132
"218","GOA","Chignik",1993,333116,1537377,1995,158.64,56.28,0.136799747860379,0.00255848322096386,-0.48799250299162,-0.696885187690045
"219","GOA","Chignik",1994,197444,1263383,1996,158.64,56.28,0.147556038563221,-0.498118445513888,-0.39873507442581,-0.279099818293196
"220","GOA","Chignik",1995,373425,1326004,1997,158.64,56.28,0.818521198753451,0.121897758694646,0.322396547188567,-0.518370330558423
"221","GOA","Chignik",1996,284389,1389234,1998,158.64,56.28,0.408753183918014,0.352503694805338,0.787940707487218,1.16316342493556
"222","GOA","Chignik",1997,378950,966245,1999,158.64,56.28,-0.537209545514101,0.278266026802423,-0.164182672264143,0.412717990038879
"223","GOA","Chignik",1998,290469,512232,2000,158.64,56.28,0.210123292423041,0.0073670218434092,-0.195308462254326,-0.741083334567166
"224","GOA","Chignik",1999,258542,349910,2001,158.64,56.28,0.216534698492808,-0.365838555953068,-0.178216166646019,0.350466410058514
"225","GOA","Chignik",2000,269086,1123579,2002,158.64,56.28,0.908540244230154,0.509212491274918,0.588585531883119,-0.706898743350551
"226","GOA","Chignik",2001,392903,932349,2003,158.64,56.28,0.820986287760177,0.440462545865374,1.01414319047334,1.88406980711679
"227","GOA","Chignik",2002,341132,751699,2004,158.64,56.28,0.76507357746778,0.777900892504212,0.224816435197923,0.144216573829882
"228","GOA","Chignik",2003,334119,1008419,2005,158.64,56.28,0.614885344016512,0.143713833249153,0.143462462958788,0.305416296565964
"229","GOA","Chignik",2004,214459,1275627,2006,158.64,56.28,-0.234616097015601,-0.195470141037169,-0.445913359838735,-0.0184913706483889
"230","GOA","Chignik",2005,225366,1014004,2007,158.64,56.28,-0.53472891136806,-0.6263013359392,-0.930206318584605,-0.873335349029081
"231","GOA","Chignik",2006,368996,1583237,2008,158.64,56.28,-0.909070949823825,-0.991016100991152,-1.04985647697219,-0.987077288140129
"232","South","Chilko",1960,244864,970329,1962,123.06,49.12,0.824703255302596,0.946691821464686,0.925698639554613,0.177286810442601
"233","South","Chilko",1961,15038,64552,1963,123.06,49.12,0.90612784207382,0.816421339003391,1.13598860328379,1.67411046866662
"234","South","Chilko",1962,42125,984848,1964,123.06,49.12,-0.155108240250839,0.547594096096729,-0.0156640901882197,0.597866737900947
